start
Process 1 added to queue at time 8 , top id = 0
:: Process 1 started at 8, remaining time 2
Process 1 paused at 10 , remaining time 19
:: Process 1 started at 10, remaining time 2
Process 1 paused at 12 , remaining time 17
:: Process 1 started at 12, remaining time 2
Process 1 paused at 14 , remaining time 15
:: Process 1 started at 14, remaining time 2
Process 1 paused at 16 , remaining time 13
:: Process 1 started at 16, remaining time 2
Process 2 added to queue at time 17 , top id = 1
Process 1 paused at 18 , remaining time 11
:: Process 2 started at 18, remaining time 2
Process 2 paused at 20 , remaining time 8
:: Process 1 started at 20, remaining time 2
Process 1 paused at 22 , remaining time 9
:: Process 2 started at 22, remaining time 2
Process 3 added to queue at time 23 , top id = 1
Process 2 paused at 24 , remaining time 6
:: Process 1 started at 24, remaining time 2
Process 1 paused at 26 , remaining time 7
:: Process 3 started at 26, remaining time 2
Process 4 added to queue at time 27 , top id = 1
Process 3 paused at 28 , remaining time 22
:: Process 2 started at 28, remaining time 2
Process 2 paused at 30 , remaining time 4
:: Process 1 started at 30, remaining time 2
Process 1 paused at 32 , remaining time 5
:: Process 4 started at 32, remaining time 2
Process 4 paused at 34 , remaining time 6
:: Process 3 started at 34, remaining time 2
Process 3 paused at 36 , remaining time 20
:: Process 2 started at 36, remaining time 2
Process 2 paused at 38 , remaining time 2
:: Process 1 started at 38, remaining time 2
Process 1 paused at 40 , remaining time 3
:: Process 4 started at 40, remaining time 2
Process 4 paused at 42 , remaining time 4
:: Process 3 started at 42, remaining time 2
Process 3 paused at 44 , remaining time 18
:: Process 2 started at 44, remaining time 2
Process 2 finished at 46
:: Process 1 started at 46, remaining time 2
Process 1 paused at 48 , remaining time 1
:: Process 4 started at 48, remaining time 2
Process 4 paused at 50 , remaining time 2
:: Process 3 started at 50, remaining time 2
Process 3 paused at 52 , remaining time 16
:: Process 1 started at 52, remaining time 1
Process 1 finished at 53
:: Process 4 started at 53, remaining time 2
Process 4 finished at 55
:: Process 3 started at 55, remaining time 2
Process 3 paused at 57 , remaining time 14
:: Process 3 started at 57, remaining time 2
Process 3 paused at 59 , remaining time 12
:: Process 3 started at 59, remaining time 2
Process 3 paused at 61 , remaining time 10
:: Process 3 started at 61, remaining time 2
Process 3 paused at 63 , remaining time 8
:: Process 3 started at 63, remaining time 2
Process 3 paused at 65 , remaining time 6
:: Process 3 started at 65, remaining time 2
Process 3 paused at 67 , remaining time 4
:: Process 3 started at 67, remaining time 2
Process 3 paused at 69 , remaining time 2
:: Process 3 started at 69, remaining time 2
Process 3 finished at 71
